BlockID;TrialID;Config;Position
BlockID;TrialID;Config;Position
0;0;0;(0.17, -0.06, -2.94)
0;1;2;(2.58, 0.42, -0.73)
0;2;1;(-0.86, 0.25, 2.52)
1;3;1;(-2.74, -1.66, -1.27)
1;4;2;(-2.70, 0.16, 0.55)
1;5;0;(1.80, -1.16, 1.64)
2;6;2;(-3.30, 1.46, -2.97)
2;7;0;(-3.33, 0.87, -0.21)
2;8;1;(2.01, -0.67, 3.45)
3;9;0;(2.69, 1.03, 0.58)
3;10;1;(-2.13, -0.21, -2.80)
3;11;2;(2.37, -0.05, 2.53)
4;12;2;(1.03, 0.30, 1.69)
4;13;1;(2.38, 1.65, -1.80)
4;14;0;(2.96, -1.64, 0.50)
5;15;0;(-0.10, 0.62, 1.71)
5;16;1;(2.31, 1.61, -2.72)
5;17;2;(-0.59, -1.44, 2.92)
6;18;2;(3.45, -0.79, 0.22)
6;19;0;(-3.00, 0.05, -1.53)
6;20;1;(0.39, -0.32, 3.13)
7;21;1;(2.61, 0.91, -1.47)
7;22;0;(0.43, -0.72, -0.39)
7;23;2;(-1.50, -0.09, 1.95)
8;24;2;(2.76, -0.12, -2.93)
8;25;1;(0.80, 0.97, 1.60)
8;26;0;(2.61, -0.66, 2.49)
9;27;2;(-3.44, -1.74, 3.90)
9;28;0;(3.40, -0.60, 3.20)
9;29;1;(-0.95, 0.15, 3.44)
10;30;0;(-0.37, -1.13, 1.26)
10;31;1;(-3.48, 0.79, -2.66)
10;32;2;(-0.05, 0.68, 0.44)
11;33;2;(1.58, 0.96, 3.25)
11;34;1;(-2.24, -0.42, -2.17)
11;35;0;(-3.36, 1.52, 0.70)
12;36;1;(0.24, 0.63, 3.66)
12;37;0;(1.71, -0.58, -2.49)
12;38;2;(-2.17, -0.64, 2.72)
13;39;2;(-3.45, 0.89, 2.93)
13;40;1;(1.56, 0.20, -1.26)
13;41;0;(0.76, -0.45, -2.07)
14;42;0;(-3.45, -0.92, 2.59)
14;43;2;(3.17, -1.59, -1.62)
14;44;1;(-2.34, -1.29, -1.47)
15;45;1;(2.49, 1.02, 0.36)
15;46;2;(2.16, -1.07, 3.53)
15;47;0;(-0.50, -1.56, -1.81)
16;48;2;(-0.28, 0.52, 0.22)
16;49;0;(0.64, -0.56, -3.35)
16;50;1;(-2.39, -0.90, 3.94)
17;51;0;(-3.00, 0.78, 2.17)
17;52;1;(-2.99, 1.57, -3.01)
17;53;2;(-1.38, 0.87, 0.79)
18;54;1;(3.25, -1.07, -0.28)
18;55;0;(0.82, -0.81, -0.23)
18;56;2;(-0.79, 0.67, -2.25)
19;57;2;(-1.14, 0.67, -0.04)
19;58;0;(3.28, -0.29, 3.20)
19;59;1;(0.52, 0.66, -0.04)
