BlockID;TrialID;Config;Position
0;0;2;(-2.81, -0.83, -2.30)
0;1;1;(2.39, 1.15, -1.92)
0;2;0;(1.00, -0.98, 2.05)
1;3;1;(1.64, 1.52, 0.71)
1;4;2;(-1.01, -1.25, 2.09)
1;5;0;(-1.87, 1.46, -2.85)
2;6;0;(-1.41, -1.42, 2.76)
2;7;1;(0.21, 0.98, -3.22)
2;8;2;(-0.13, 0.16, 0.55)
3;9;1;(2.77, -1.24, 3.72)
3;10;2;(-3.09, 1.24, 3.26)
3;11;0;(1.29, 0.70, -0.58)
4;12;0;(-2.75, 0.39, -1.77)
4;13;1;(1.63, -1.65, 1.98)
4;14;2;(-0.89, -1.40, -3.14)
5;15;2;(2.92, -1.60, 0.67)
5;16;1;(-1.78, 0.00, -0.87)
5;17;0;(2.55, -1.38, -0.32)
6;18;0;(-2.52, -1.58, 3.70)
6;19;1;(-1.84, 0.28, -2.68)
6;20;2;(2.50, -1.61, -3.91)
7;21;2;(-2.72, -1.72, -0.65)
7;22;0;(1.83, -0.27, 2.60)
7;23;1;(2.19, 0.95, -2.36)
8;24;2;(2.63, 0.15, 0.65)
8;25;1;(1.52, 1.63, 3.83)
8;26;0;(-2.01, -1.68, -2.17)
9;27;1;(3.45, -1.55, 3.38)
9;28;2;(1.21, 1.39, -0.36)
9;29;0;(2.41, -0.96, 2.78)
10;30;0;(0.79, 0.64, 0.17)
10;31;1;(1.16, 1.71, -3.30)
10;32;2;(-3.30, 0.38, -0.66)
11;33;2;(2.98, 0.46, -0.05)
11;34;1;(-0.65, 1.52, -0.23)
11;35;0;(-3.09, -1.42, 2.54)
12;36;2;(-0.95, -1.73, 0.33)
12;37;0;(0.90, -0.66, 2.93)
12;38;1;(3.24, -1.46, -0.55)
13;39;1;(-0.25, -0.86, 2.11)
13;40;2;(-3.22, 0.65, -0.19)
13;41;0;(-2.03, 0.12, -3.89)
14;42;2;(-1.51, 1.26, -1.01)
14;43;0;(2.80, 0.38, -3.42)
14;44;1;(-0.86, 1.59, 0.45)
15;45;2;(-0.88, 1.67, -3.16)
15;46;1;(-3.09, -0.20, 3.19)
15;47;0;(0.85, 1.12, 2.12)
16;48;1;(1.86, 0.82, -2.07)
16;49;2;(1.81, -0.77, -2.66)
16;50;0;(-3.28, 0.71, 1.60)
17;51;2;(-2.28, 0.23, -0.33)
17;52;0;(1.06, 0.52, -0.67)
17;53;1;(3.31, -0.81, 3.06)
18;54;1;(-1.24, 1.14, 1.34)
18;55;0;(1.02, 1.65, -2.97)
18;56;2;(-0.31, -0.24, -0.55)
19;57;0;(3.06, -1.33, 3.10)
19;58;2;(1.07, -1.27, -0.58)
19;59;1;(-1.82, 0.26, 3.95)
