BlockID;TrialID;Config;DistanceFinal;PositionTargetX;PositionTargetY;PositionTargetZ;PositionFinalX;PositionFinalY;PositionFinalZ;RotationTarget;RotationFinal
0;0;0;5,3783;-2,5068;-0,0473;0,7227;2,8715;-0,0473;0,7227;243,317;243,3171
0;1;3;3,6976;1,8107;-0,6481;0,5659;-1,7850;0,2138;0,5659;236,3033;236,3033
0;2;2;3,6484;0,1551;0,7363;0,3286;0,1551;0,7363;-3,3198;165,1776;165,1776
BlockID;TrialID;Config;DistanceFinal;PositionTargetX;PositionTargetY;PositionTargetZ;PositionFinalX;PositionFinalY;PositionFinalZ;RotationTarget;RotationFinal
0;0;0;4,6767;2,8626;0,4643;-1,3156;-1,8140;0,4643;-1,3156;324,1833;324,1833
0;1;6;4,1885;-2,7441;-0,1734;-0,0481;0,6689;0,5945;-2,3514;187,9478;187,9479
0;2;4;7,1020;-2,4169;0,4471;-3,3452;2,6165;0,4471;1,6652;84,92561;84,92561
0;3;3;3,3073;0,7005;-1,0614;-1,1257;-2,1544;0,6081;-1,1257;289,7715;289,7715
0;4;1;3,0720;1,3029;-0,9270;0,3066;-0,8101;1,3029;0,3066;199,6919;199,692
0;5;5;5,1016;2,0017;0,4474;3,4266;2,0017;0,0895;-1,6624;19,70266;19,70267
0;6;2;5,7240;2,9730;0,8625;-3,3402;2,9730;0,8625;2,3838;138,8091;138,8091
1;7;1;4,0287;0,7727;-1,2116;-0,4378;-2,7334;0,7727;-0,4378;68,90539;68,9054
1;8;0;5,1247;-2,8175;-0,5997;-1,5001;2,3072;-0,5997;-1,5001;219,3855;219,3855
1;9;6;3,9203;-2,6071;1,3969;-0,1441;-2,5136;-0,9741;-3,2647;201,5424;201,5425
1;10;2;3,7517;2,4181;0,2606;-2,5251;2,4181;0,2606;1,2266;194,6369;194,6369
1;11;5;5,1598;1,4562;-0,7731;-1,6795;1,4562;-0,6317;3,4783;65,54311;65,54311
1;12;4;4,9793;-2,6487;1,3787;-1,6904;2,0523;1,3787;-3,3318;345,2514;345,2514
1;13;3;3,7657;2,4617;-0,1733;1,2259;-1,2946;-0,4392;1,2259;4,990216;4,990217
2;14;1;3,0099;1,1786;-1,2752;-0,1922;-0,5644;1,1786;-0,1922;80,68496;80,68497
2;15;6;4,8008;2,5086;-0,6686;-1,8695;0,4106;-0,4981;2,4453;45,62897;45,62898
2;16;0;3,1707;-1,6953;-0,0218;-1,2645;1,4754;-0,0218;-1,2645;72,51414;72,51415
2;17;4;3,5035;2,2630;0,8027;3,4188;-0,6706;0,8027;1,5034;257,1191;257,1191
2;18;2;4,9918;0,9973;0,0416;-2,3134;0,9973;0,0416;2,6784;275,9646;275,9646
2;19;3;4,0369;-1,4546;-0,7520;2,9955;2,3038;0,7213;2,9955;191,1533;191,1533
2;20;5;3,7460;-0,4496;-1,0596;2,2632;-0,4496;0,0708;-1,3081;339,1693;339,1694
