BlockID;TrialID;Config;Position
0;0;1;(-2.00, 1.22, -2.49)
0;1;2;(-0.85, -1.25, 4.84)
0;2;0;(-4.29, 0.63, -0.49)
1;3;0;(-1.30, -0.91, 4.70)
1;4;1;(1.60, 1.18, 0.55)
1;5;2;(1.42, -1.28, 3.69)
2;6;1;(-1.76, -1.27, 1.47)
2;7;2;(-2.26, 1.64, 0.93)
2;8;0;(3.79, 1.75, 2.67)
3;9;2;(3.12, -2.00, -4.74)
3;10;1;(-2.54, 1.71, -2.25)
3;11;0;(-1.51, 0.44, -1.92)
4;12;0;(0.98, 1.56, 0.59)
4;13;2;(1.18, 0.24, 3.83)
4;14;1;(-1.90, 1.70, -1.19)
5;15;1;(-4.94, -1.62, -4.63)
5;16;2;(4.81, 0.25, 3.74)
5;17;0;(-4.68, 1.13, 1.78)
6;18;2;(-2.03, 1.36, 1.53)
6;19;0;(-3.36, 0.98, -0.87)
6;20;1;(-0.71, 0.95, -0.38)
7;21;2;(-0.35, 1.26, 3.61)
7;22;0;(-2.61, -1.89, 3.27)
7;23;1;(-1.69, 0.82, 3.08)
8;24;0;(-2.77, 1.87, 2.67)
8;25;2;(-3.00, 1.99, 0.41)
8;26;1;(3.69, -0.24, -2.30)
9;27;1;(-3.78, 0.05, -2.34)
9;28;0;(-2.13, 0.35, 0.60)
9;29;2;(-0.24, -0.14, 1.59)
10;30;0;(4.15, 0.95, -2.68)
10;31;1;(4.11, 0.19, -2.92)
10;32;2;(0.14, 1.04, -2.74)
11;33;1;(2.30, -0.58, 2.25)
11;34;2;(0.09, 1.66, 1.80)
11;35;0;(4.09, 1.54, -0.51)
12;36;0;(2.90, -0.72, 0.05)
12;37;2;(-3.34, 1.28, -3.36)
12;38;1;(2.96, -1.72, -0.83)
13;39;2;(0.38, -1.79, 1.48)
13;40;0;(-3.31, 0.36, 4.12)
13;41;1;(0.10, 0.66, -1.67)
14;42;1;(-0.65, -1.42, 0.71)
14;43;0;(-0.61, 0.70, -0.82)
14;44;2;(4.94, -0.74, -2.87)
15;45;0;(0.00, -0.52, 2.01)
15;46;1;(3.45, -0.25, -4.72)
15;47;2;(-0.84, -1.01, -0.09)
16;48;0;(1.27, 0.05, 4.96)
16;49;2;(-3.46, -0.79, 2.86)
16;50;1;(-3.56, -0.09, 3.92)
17;51;1;(-0.91, 1.68, -2.71)
17;52;0;(-4.28, -1.89, -3.15)
17;53;2;(2.19, -0.61, -0.07)
18;54;1;(-0.44, -1.85, -0.81)
18;55;0;(3.42, 0.08, 1.86)
18;56;2;(-2.58, -1.61, -3.94)
19;57;1;(-2.21, -1.80, 2.50)
19;58;2;(-4.50, 0.98, 3.98)
19;59;0;(1.00, -1.36, 1.59)
