BlockID;TrialID;Config;Position
0;0;1;(2.63, -0.76, -3.95)
0;1;2;(0.77, -0.65, -0.17)
0;2;0;(1.53, -1.22, -3.72)
1;3;2;(1.22, -0.75, -1.01)
1;4;0;(0.74, 1.52, 1.50)
1;5;1;(-3.25, -0.48, 3.62)
2;6;2;(3.01, 0.50, -1.23)
2;7;0;(-0.27, -0.46, 3.56)
2;8;1;(-1.42, 1.11, -2.86)
3;9;0;(-1.75, 1.31, 0.89)
3;10;2;(1.61, -0.32, 1.94)
3;11;1;(0.58, -1.15, -1.87)
4;12;2;(-3.42, -1.64, -3.93)
4;13;1;(-1.98, -0.67, 3.93)
4;14;0;(-0.87, -0.80, -3.78)
5;15;0;(-2.35, 0.14, 1.05)
5;16;1;(2.11, 0.87, 0.01)
5;17;2;(2.95, -0.02, -2.51)
6;18;0;(-0.57, -0.83, 2.12)
6;19;2;(-2.39, 1.01, -3.82)
6;20;1;(1.62, -1.37, 3.58)
7;21;0;(-0.92, -0.73, 0.42)
7;22;1;(3.14, -0.88, 3.76)
7;23;2;(-2.24, -1.57, 1.39)
8;24;2;(0.53, -0.21, -0.41)
8;25;1;(-0.14, -1.11, 3.87)
8;26;0;(-1.97, -1.75, 2.24)
9;27;2;(1.30, 0.17, -0.74)
9;28;1;(-2.34, 1.64, 0.95)
9;29;0;(3.01, -1.42, -3.58)
10;30;1;(-0.50, -0.33, 0.94)
10;31;0;(-0.54, 1.46, 1.67)
10;32;2;(1.91, 1.18, 1.91)
11;33;1;(-2.81, 0.74, 2.21)
11;34;2;(-2.32, 0.11, -3.92)
11;35;0;(0.36, -1.37, 2.85)
12;36;2;(-2.41, 1.62, -0.94)
12;37;1;(1.52, 1.09, -1.37)
12;38;0;(-0.68, -0.49, 1.18)
13;39;2;(-0.16, -0.99, 2.74)
13;40;1;(-3.34, 1.61, 2.50)
13;41;0;(0.12, 0.09, 3.08)
14;42;2;(-1.06, 1.02, -1.03)
14;43;0;(1.83, -1.28, 0.46)
14;44;1;(2.05, 0.24, -3.60)
15;45;2;(-2.12, 0.73, 1.59)
15;46;1;(2.32, 0.02, -2.35)
15;47;0;(0.22, 0.02, 1.17)
16;48;0;(3.43, -0.52, 3.93)
16;49;1;(-2.23, 1.57, -0.82)
16;50;2;(3.05, 1.52, 3.72)
17;51;1;(-1.40, 0.03, 2.36)
17;52;2;(-0.98, -0.84, -2.01)
17;53;0;(1.58, 0.60, 2.89)
18;54;2;(-0.20, -1.29, -2.94)
18;55;1;(-2.73, -0.15, 3.53)
18;56;0;(-0.93, 0.47, -1.01)
19;57;1;(0.55, -0.87, 1.86)
19;58;2;(-2.05, 1.43, 1.04)
19;59;0;(0.67, 0.03, -2.75)
