BlockID;TrialID;Config;PositionTarget;PositionFinal;RotationTarget;RotationFinal
0;0;0;(1.97, 1.25, 1.15);(-0.77, 1.25, 1.15);149,0114;149,0114
0;1;1;(-0.49, -1.77, -4.74);(-0.49, -0.81, -4.74);68,78114;68,78116
0;2;2;(-3.65, -1.81, 3.68);(-3.65, -1.81, 2.55);254,3458;254,3458
0;3;3;(-2.34, -2.00, 3.17);(2.21, -1.24, 3.17);274,3837;274,3837
0;4;4;(-0.95, 1.11, 0.99);(-0.81, 1.11, -0.83);52,91065;52,91065
0;5;5;(-3.57, -1.11, -1.62);(-3.57, -1.48, 1.44);64,15779;64,15781
0;6;6;(0.69, 1.14, 0.02);(-0.62, -0.05, -2.91);226,6251;226,6251
0;7;7;(0.63, -0.99, -3.13);(0.63, -0.99, -3.13);60,59407;298,8884
0;8;8;(-2.42, -1.71, -4.24);(-0.98, -1.71, -4.24);291,1627;45,66825
0;9;9;(-1.36, 1.63, 0.19);(-1.36, 0.74, 0.19);287,8655;197,9724
0;10;10;(3.10, -0.31, 3.62);(3.10, -0.31, -0.06);67,35298;278,2743
0;11;11;(-3.65, 0.99, 0.46);(2.97, 1.93, 0.46);322,2254;73,84286
0;12;12;(0.88, -1.65, 3.26);(-1.88, -1.65, 1.81);186,7167;234,0408
0;13;13;(-1.06, -0.29, -2.22);(-1.06, 1.13, -1.59);307,838;139,1835
0;14;14;(3.21, -1.05, 3.38);(2.68, 1.55, 2.74);129,3989;89,91624
0;15;15;(-2.26, -0.87, 2.74);(1.92, -0.87, 2.74);100,8477;100,8477
0;16;16;(1.04, 0.89, -3.08);(1.04, 0.85, -3.08);41,75338;41,75338
0;17;17;(1.13, -1.56, 1.37);(1.13, -1.56, -1.10);114,4237;114,4237
0;18;18;(3.40, 0.20, -1.33);(0.69, -1.57, -1.33);140,6981;140,6982
0;19;19;(3.13, -1.46, 4.22);(3.11, -1.46, 4.62);265,2488;265,2488
0;20;20;(0.27, -0.18, -1.89);(0.27, 0.41, -0.24);316,4876;316,4877
0;21;21;(-1.85, -0.13, 0.86);(-0.59, -0.31, 4.17);350,9065;350,9065
0;22;22;(-1.36, 0.61, 3.62);(-1.36, 0.61, 3.62);42,366;41,0373
0;23;23;(-1.24, 0.48, 4.46);(1.24, 0.48, 4.46);335,5572;330,3361
0;24;24;(-0.97, 1.64, -4.06);(-0.97, -0.49, -4.06);152,3302;88,72569
0;25;25;(-0.76, -0.03, -0.62);(-0.76, -0.03, 3.72);78,7703;110,301
0;26;26;(-0.35, 0.64, -3.82);(-2.76, 1.11, -3.82);81,06619;144,3712
0;27;27;(-2.58, -0.17, 3.59);(3.66, -0.17, 3.77);25,5634;167,6325
0;28;28;(3.58, 1.48, -3.53);(3.58, -0.79, 3.77);109,5435;35,96603
0;29;29;(3.32, 0.25, 2.03);(2.89, -1.38, -2.74);307,6064;191,421
0;30;30;(-2.58, -1.98, 1.74);(1.15, -1.98, 1.74);212,7225;212,7225
0;31;31;(1.66, 0.61, -1.36);(1.66, -0.24, -1.36);56,33726;56,33726
0;32;32;(-0.63, 1.96, 2.33);(-0.63, 1.96, -3.94);191,4814;191,4814
0;33;33;(1.28, 1.90, 3.10);(0.55, -1.35, 3.10);261,0679;261,068
0;34;34;(-3.32, -1.34, 3.29);(-3.24, -1.34, -0.66);327,363;327,3631
0;35;35;(-2.85, -1.42, 3.74);(-2.85, -1.19, 4.87);210,2584;210,2584
0;36;36;(-3.60, 1.03, 4.95);(-2.68, -0.87, -1.60);35,92476;35,92476
0;37;37;(-1.69, -1.99, 2.34);(-1.69, -1.99, 2.34);67,23737;148,124
0;38;38;(-1.71, -0.37, -2.16);(-1.19, -0.37, -2.16);336,6057;183,4269
0;39;39;(3.28, 1.57, -0.70);(3.28, 1.01, -0.70);155,5484;303,5817
0;40;40;(-2.69, 1.53, 1.24);(-2.69, 1.53, -2.53);258,8899;291,9824
0;41;41;(-2.33, 0.54, 0.53);(2.25, 0.70, 0.53);196,6517;298,145
0;42;42;(3.69, 0.07, 4.31);(1.67, 0.07, -4.27);226,4389;214,8883
0;43;43;(2.04, 0.49, -2.18);(2.04, 1.60, 3.92);98,04912;246,6323
0;44;44;(-1.76, 0.40, -0.78);(1.14, 0.21, 0.19);92,72186;231,5723
1;45;0;(1.17, -1.82, -3.71);(-2.19, -1.82, -3.71);219,1648;219,1648
1;46;1;(2.03, 0.13, -1.59);(2.03, -1.22, -1.59);263,5091;263,5092
1;47;2;(-0.14, -1.51, 2.17);(-0.14, -1.51, -3.05);340,2848;340,2849
1;48;3;(-0.98, 0.97, 3.29);(-1.16, 0.55, 3.29);346,5187;346,5187
1;49;4;(-3.44, 1.01, 3.29);(2.55, 1.01, 0.86);14,81529;14,8153
1;50;5;(3.12, -0.92, 0.92);(3.12, 1.65, -2.08);208,5959;208,5959
1;51;6;(2.18, 1.66, -0.45);(2.87, 0.87, 2.91);62,31729;62,3173
1;52;7;(2.83, 1.63, 3.69);(2.83, 1.63, 3.69);72,49566;48,78064
1;53;8;(1.23, -0.76, -3.96);(1.81, -0.76, -3.96);161,5891;226,6199
1;54;9;(-2.58, -0.50, -3.02);(-2.58, 0.85, -3.02);248,8854;42,35656
1;55;10;(-2.35, -1.43, 1.18);(-2.35, -1.43, -0.44);84,34196;83,74012
1;56;11;(1.03, -0.09, 2.55);(2.89, -1.93, 2.55);345,7426;73,94534
1;57;12;(-2.53, -0.93, -4.25);(0.74, -0.93, -4.67);6,000444;77,81625
1;58;13;(-2.18, 1.32, 3.22);(-2.18, -0.67, -4.49);351,2674;295,9868
1;59;14;(2.86, -1.49, -4.64);(-2.59, -1.96, -4.86);208,1084;10,84945
1;60;15;(0.60, 0.58, 2.56);(-3.62, 0.58, 2.56);267,314;267,314
1;61;16;(-0.83, -1.51, 3.09);(-0.83, 1.35, 3.09);208,3176;208,3176
1;62;17;(2.44, 1.18, -1.43);(2.44, 1.18, 0.15);280,8767;280,8767
1;63;18;(-2.06, 1.91, 2.99);(0.23, -1.08, 2.99);154,6616;154,6616
1;64;19;(1.69, 1.84, 3.05);(1.05, 1.84, 1.36);233,7936;233,7936
1;65;20;(3.36, -0.31, 2.73);(3.36, -1.65, -3.91);267,9191;267,9191
1;66;21;(-3.44, 0.48, 4.82);(0.24, 0.70, -2.32);116,3858;116,3858
1;67;22;(1.84, -1.89, -0.25);(1.84, -1.89, -0.25);165,3182;272,7989
1;68;23;(-1.12, -0.41, -4.63);(-0.58, -0.41, -4.63);31,84973;230,5838
1;69;24;(0.67, 0.59, -4.91);(0.67, -1.79, -4.91);310,798;308,3069
1;70;25;(1.05, 0.59, -3.70);(1.05, 0.59, 3.45);226,7384;85,84064
1;71;26;(-0.67, 1.79, -3.82);(-1.14, -1.23, -3.82);241,3994;267,1442
1;72;27;(0.18, -1.78, -3.89);(-3.43, -1.78, -4.69);150,5511;323,1756
1;73;28;(-3.05, -0.13, 1.78);(-3.05, 0.24, 4.68);177,2272;354,1956
1;74;29;(-0.98, -0.63, -4.35);(0.91, 1.13, 4.25);151,6775;207,2979
1;75;30;(-3.19, 0.00, 4.77);(-1.91, 0.00, 4.77);173,2184;173,2184
1;76;31;(-3.23, -1.32, -2.76);(-3.23, 1.70, -2.76);227,4751;227,4751
1;77;32;(-2.67, -0.12, 3.61);(-2.67, -0.12, -2.51);116,8982;116,8982
1;78;33;(0.55, -0.30, 2.29);(-1.76, 0.82, 2.29);351,5695;351,5695
1;79;34;(-0.09, 0.71, -3.99);(3.60, 0.71, 4.59);253,8897;253,8897
1;80;35;(-3.59, 1.47, 2.04);(-3.59, -1.27, 4.36);169,4342;169,4342
1;81;36;(-1.20, 0.22, 0.34);(3.42, -1.26, -1.64);214,1433;214,1433
1;82;37;(2.54, -0.42, -2.46);(2.54, -0.42, -2.46);218,5796;67,81097
1;83;38;(2.25, -0.27, -4.27);(2.51, -0.27, -4.27);96,81702;352,2937
1;84;39;(-3.62, -0.61, -0.99);(-3.62, 1.00, -0.99);127,8153;174,0374
1;85;40;(-2.26, -0.17, 2.85);(-2.26, -0.17, 4.92);82,2113;25,61241
1;86;41;(3.35, 1.96, 2.67);(-0.67, -0.09, 2.67);68,18433;246,6747
1;87;42;(-2.80, -1.48, -4.63);(-0.18, -1.48, -3.57);310,5742;224,1321
1;88;43;(3.37, -1.02, -4.71);(3.37, 0.60, 2.93);252,7719;287,407
1;89;44;(2.13, -1.13, -4.14);(-2.03, 1.38, 2.18);3,196571;102,0677
2;90;0;(2.89, 0.33, 3.31);(-1.10, 0.33, 3.31);18,17114;18,17115
2;91;1;(-2.57, -0.82, 0.03);(-2.57, -0.96, 0.03);306,9317;306,9317
2;92;2;(1.70, -0.21, -3.45);(1.70, -0.21, -1.50);227,9589;227,9589
2;93;3;(3.34, -1.32, -4.59);(-2.06, -0.59, -4.59);37,21702;37,21702
2;94;4;(2.24, -1.13, 0.44);(3.18, -1.13, -1.54);118,3544;118,3544
2;95;5;(-1.96, -1.62, -0.76);(-1.96, -0.45, -4.24);102,7074;102,7074
2;96;6;(3.03, 1.86, 3.92);(3.21, 1.21, 4.73);26,64375;26,64375
2;97;7;(2.34, 1.75, -4.19);(2.34, 1.75, -4.19);202,1318;317,1617
2;98;8;(-1.40, -1.06, 3.80);(-2.24, -1.06, 3.80);262,1053;11,81406
2;99;9;(-1.87, 0.23, 2.79);(-1.87, 0.92, 2.79);202,0499;335,013
2;100;10;(-1.15, -0.92, -2.77);(-1.15, -0.92, 0.00);104,4734;96,82367
2;101;11;(2.55, -0.77, 2.40);(-3.21, -0.38, 2.40);259,3818;354,7422
2;102;12;(2.84, 0.09, 2.73);(0.65, 0.09, 2.59);213,2856;305,2617
2;103;13;(3.56, 1.99, 1.30);(3.56, -1.96, -4.91);209,9258;51,43762
2;104;14;(-3.66, 0.49, 2.22);(-1.49, -1.10, -0.31);32,25322;83,40684
2;105;15;(-1.73, 1.94, -3.33);(-3.28, 1.94, -3.33);214,4387;214,4387
2;106;16;(1.53, 1.87, 2.96);(1.53, 0.15, 2.96);170,1334;170,1335
2;107;17;(-2.28, -1.70, -4.74);(-2.28, -1.70, 0.65);220,696;220,696
2;108;18;(1.75, 1.40, -0.24);(3.64, -1.06, -0.24);226,4678;226,4678
2;109;19;(0.30, -1.78, 3.75);(1.38, -1.78, -2.47);308,7667;308,7667
2;110;20;(-3.69, 0.86, -1.49);(-3.69, -1.30, -1.07);301,3268;301,3268
2;111;21;(1.44, -0.40, -3.29);(-3.41, -1.15, -0.68);38,17887;38,17888
2;112;22;(0.70, 1.71, -0.02);(0.70, 1.71, -0.02);251,3083;146,4381
2;113;23;(-1.92, 0.71, -2.38);(0.79, 0.71, -2.38);20,67161;287,5852
2;114;24;(-2.32, 0.13, -2.61);(-2.32, -0.77, -2.61);10,44252;81,72769
2;115;25;(-3.55, -1.43, -1.66);(-3.55, -1.43, -3.96);162,8317;88,06161
2;116;26;(1.57, -1.53, -3.04);(2.53, -1.05, -3.04);14,39035;237,8935
2;117;27;(0.55, 1.31, 0.18);(-2.24, 1.31, 1.53);332,3557;161,2911
2;118;28;(3.05, -1.14, 3.32);(3.05, 0.56, -2.57);75,93111;283,1971
2;119;29;(-2.89, 0.34, -1.11);(-0.56, -1.86, 1.43);21,51554;56,18311
2;120;30;(-1.76, 1.16, 0.29);(-2.20, 1.16, 0.29);41,03408;41,03408
2;121;31;(1.08, 0.35, -4.07);(1.08, 1.12, -4.07);5,868865;5,868866
