BlockID;TrialID;Config;PositionTarget;PositionFinal;RotationTarget;RotationFinal
0;0;0;(0.91, 0.83, 4.34);(-2.29, 0.83, 4.34);236,2288;236,2288
0;1;1;(-1.92, 1.72, 0.64);(-1.92, -1.59, 0.64);44,9065;44,9065
0;2;2;(1.62, -0.03, -0.78);(1.62, -0.03, 3.15);176,9292;176,9292
0;3;3;(-0.09, 1.90, 2.17);(1.34, -1.32, 2.17);171,8483;171,8483
0;4;4;(3.27, 1.50, -4.71);(-0.10, 1.50, 2.59);109,3446;109,3446
0;5;5;(2.73, -0.87, 4.55);(2.73, 0.13, -2.34);339,8915;339,8916
0;6;6;(-2.87, 1.08, -3.88);(-0.78, 1.89, 3.74);159,9877;159,9878
0;7;7;(-3.10, 0.17, 0.16);(-3.10, 0.17, 0.16);59,2119;140,2931
0;8;8;(1.67, -1.08, -2.92);(-3.64, -1.08, -2.92);97,34086;172,0777
0;9;9;(-3.27, 1.82, -4.93);(-3.27, -0.67, -4.93);295,27;359,3087
0;10;10;(-3.45, 0.08, 4.79);(-3.45, 0.08, -0.41);53,56047;139,7787
0;11;11;(3.66, -1.73, -4.40);(1.85, 1.43, -4.40);4,886105;92,59587
