BlockID;TrialID;Config;PositionTarget;PositionFinal;RotationTarget;RotationFinal
0;0;0;(-2.89, 1.97, -4.94);(3.26, 1.97, -4.94);239,8755;239,8756
0;1;1;(0.72, -1.34, -3.52);(0.72, 1.97, -3.52);107,677;107,677
0;2;2;(-2.47, 1.31, -0.62);(-2.47, 1.31, -4.66);67,56756;67,56756
0;3;3;(0.72, -1.57, 0.45);(-3.15, 1.17, 0.45);122,5777;122,5778
0;4;4;(0.01, 1.60, -4.45);(2.56, 1.60, 1.42);126,0777;126,0777
0;5;5;(-3.03, -0.07, 4.11);(-3.03, 1.86, 2.65);159,4286;159,4286
0;6;6;(1.23, -0.51, -4.29);(3.30, -1.35, 3.19);110,7904;110,7904
0;7;7;(-2.97, 1.32, 2.10);(-2.97, 1.32, 2.10);4,079296;23,2773
0;8;8;(-3.51, -0.34, 3.26);(2.10, -0.34, 3.26);56,64685;279,1825
0;9;9;(-1.58, 1.76, 1.05);(-1.58, -0.86, 1.05);38,23218;67,68725
0;10;10;(0.04, 1.65, 1.04);(0.04, 1.65, -2.55);1,245081;108,8373
0;11;11;(1.02, -1.44, -4.42);(2.35, 1.75, -4.42);139,7266;307,1988
0;12;12;(3.27, 0.11, 4.81);(-3.25, 0.11, -2.20);42,12323;219,3159
0;13;13;(-3.15, -1.82, -1.63);(-3.15, 1.70, -4.09);48,31935;165,064
0;14;14;(-1.66, -1.80, 2.60);(3.53, 1.94, 4.91);21,99834;48,46959
0;15;15;(3.60, 1.80, -2.15);(-0.39, 1.80, -2.15);258,8148;258,8148
0;16;16;(-3.38, -1.91, -3.14);(-3.38, 1.93, -3.14);58,607;58,607
0;17;17;(2.44, -1.26, -4.05);(2.44, -1.26, 1.28);301,6884;301,6884
0;18;18;(2.41, 1.29, 1.47);(-3.04, 0.03, 1.47);288,0467;288,0467
0;19;19;(2.10, -0.42, 4.92);(-3.12, -0.42, -3.74);83,43837;83,43838
0;20;20;(2.49, -1.99, -3.85);(2.49, 1.24, 2.17);199,4991;199,4991
0;21;21;(2.31, 1.68, -2.42);(3.60, -1.47, -1.96);187,0926;187,0926
0;22;22;(2.36, -1.47, -4.21);(2.36, -1.47, -4.21);3,976256;19,12417
0;23;23;(2.62, -0.81, -4.87);(-3.66, -0.81, -4.87);29,1931;328,9889
0;24;24;(3.04, 1.60, 1.39);(3.04, -1.97, 1.39);177,5122;316,2597
0;25;25;(2.82, -1.10, -1.51);(2.82, -1.10, 4.04);94,56572;341,4311
0;26;26;(3.74, -0.25, -1.99);(-1.58, 1.73, -1.99);52,60067;77,3241
0;27;27;(-2.58, 0.98, -0.31);(-1.90, 0.98, 4.43);49,15662;97,61581
0;28;28;(0.85, 0.53, 4.69);(0.85, -0.51, -2.92);13,29232;77,32659
0;29;29;(0.84, -1.50, 0.94);(1.95, 0.02, -4.75);238,0151;326,1923
0;30;30;(3.59, 1.05, -1.46);(0.69, 1.05, -1.46);269,7584;269,7585
0;31;31;(-3.61, -1.28, 4.56);(-3.61, 0.99, 4.56);265,0143;265,0144
0;32;32;(2.44, 1.77, 1.87);(2.44, 1.77, 4.42);177,4056;177,4056
0;33;33;(0.30, 0.75, 0.79);(0.61, -0.97, 0.79);359,1967;359,1968
0;34;34;(-1.39, 0.55, 4.63);(-1.94, 0.55, -2.29);128,0501;128,0501
0;35;35;(-1.57, 0.57, -4.30);(-1.57, 1.11, 0.52);17,54493;17,54493
0;36;36;(-1.40, -0.45, -4.75);(-1.75, -1.88, -4.80);158,4493;158,4494
0;37;37;(-0.19, 1.93, -3.07);(-0.19, 1.93, -3.07);61,05888;151,7054
0;38;38;(-1.64, -0.35, -2.85);(3.51, -0.35, -2.85);42,86609;173,7799
0;39;39;(-2.04, 1.00, 4.56);(-2.04, -0.80, 4.56);8,10321;139,4678
0;40;40;(-0.45, 0.25, 0.72);(-0.45, 0.25, -4.64);54,70601;100,6988
0;41;41;(-3.21, -0.70, 1.65);(3.42, -1.99, 1.65);5,530436;58,574
0;42;42;(-3.60, 1.89, 1.93);(1.31, 1.89, 4.85);166,9556;207,9705
0;43;43;(-0.79, -1.06, 0.89);(-0.79, 0.99, -3.62);81,39063;96,49233
0;44;44;(2.71, 1.97, -2.87);(1.49, 1.86, 1.01);71,22257;96,58653
1;45;0;(3.13, 1.32, 0.44);(-0.90, 1.32, 0.44);190,7289;190,729
1;46;1;(1.55, -1.57, -2.83);(1.55, 1.41, -2.83);294,207;294,2071
1;47;2;(-2.51, 1.33, -3.45);(-2.51, 1.33, 0.53);250,8143;250,8143
1;48;3;(-0.18, -1.07, 0.40);(-1.82, 1.77, 0.40);199,9272;199,9273
1;49;4;(2.68, 0.50, 3.29);(-1.28, 0.50, -0.22);227,8173;227,8174
1;50;5;(-1.89, -1.27, -2.94);(-1.89, 1.87, 3.67);96,83926;96,83926
1;51;6;(-3.59, 0.71, 0.03);(3.75, -0.20, 0.57);247,5518;247,5518
1;52;7;(0.00, -0.40, -0.83);(0.00, -0.40, -0.83);24,40241;66,32738
1;53;8;(-2.99, 1.45, -2.01);(1.05, 1.45, -2.01);37,27813;144,4536
1;54;9;(2.85, -0.64, -2.99);(2.85, 1.92, -2.99);6,096918;43,34786
1;55;10;(3.03, -0.16, 0.56);(3.03, -0.16, -4.44);247,805;289,5408
1;56;11;(-0.32, -1.50, -1.18);(0.51, 1.41, -1.18);17,10917;69,98309
1;57;12;(-2.96, 1.34, -2.80);(-2.41, 1.34, 0.62);2,551124;27,49511
1;58;13;(2.91, -0.35, 0.77);(2.91, -1.49, 4.39);67,92684;109,0322
1;59;14;(1.23, 0.33, 0.66);(-2.46, -0.17, -4.72);78,11717;152,9706
1;60;15;(3.54, 1.66, -2.80);(-3.47, 1.66, -2.80);319,1742;319,1742
