BlockID;TrialID;Config;PositionTarget;PositionFinal;RotationTarget;RotationFinal
0;0;32;(3.46, -1.86, -4.87);(3.68, -1.86, -2.32);321,7936;348,9651
0;1;24;(1.50, 0.15, 1.18);(-2.16, 1.50, 1.18);182,0424;329,1974
0;2;38;(2.01, 0.34, -3.63);(1.54, 0.60, -4.84);281,4698;272,9382
0;3;8;(1.94, -1.40, -2.11);(-0.91, -1.40, -2.11);86,80827;141,7117
0;4;29;(0.06, -1.66, -4.93);(0.28, 1.99, -4.95);189,6337;206,9533
0;5;18;(-0.76, -0.96, 1.75);(3.11, 1.34, 1.75);3,918578;3,918578
0;6;15;(2.16, -0.79, 1.59);(-3.08, -0.79, 1.59);263,002;263,0021
0;7;11;(1.04, 0.65, 2.33);(3.62, 1.48, 2.33);51,58739;313,3205
0;8;37;(2.02, -1.38, 1.64);(2.02, -1.38, 1.64);4,870913;319,939
0;9;21;(-2.80, 1.04, 2.29);(1.76, 1.77, 1.19);174,8777;174,8777
0;10;27;(0.60, -0.14, 4.67);(-3.20, -0.14, 1.80);206,9946;230,7673
0;11;22;(2.62, 1.75, -3.41);(2.62, 1.75, -3.41);31,08647;212,5413
0;12;5;(-2.92, -1.95, 0.00);(-2.92, 0.78, 3.07);198,5672;198,5672
0;13;6;(-0.78, 1.19, 1.34);(-2.80, 1.57, 3.90);172,2966;172,2966
0;14;26;(-2.85, 1.53, 2.60);(1.23, -1.72, 2.60);62,82859;169,6191
0;15;40;(-3.16, 1.47, -4.21);(-3.16, 1.47, 0.48);247,6783;356,125
0;16;13;(2.18, 0.32, -2.90);(2.18, 1.93, 1.22);5,166255;246,5694
0;17;19;(-3.69, -0.73, -3.54);(1.73, -0.73, 3.41);48,96119;48,96119
0;18;20;(3.44, -0.29, -4.88);(3.75, 0.76, -4.10);66,19498;157,795
0;19;25;(3.35, 1.88, 3.69);(3.35, 1.88, -0.46);42,84245;106,8766
0;20;4;(-1.30, -1.22, 4.72);(-2.08, -0.65, 1.86);15,74514;324,045
0;21;34;(0.90, 1.61, -1.58);(-1.39, 1.61, 1.39);249,7544;249,7545
0;22;14;(-2.01, 0.28, -2.84);(0.31, 0.36, 4.14);77,64201;357,0804
0;23;28;(-2.07, 1.01, 4.87);(-2.07, -0.13, -3.90);172,8605;339,3215
0;24;7;(-2.70, 1.71, -1.85);(-2.70, 1.71, -1.85);45,94596;228,534
0;25;30;(-0.29, 0.87, 2.57);(-3.72, 0.87, 2.57);212,5389;212,5389
0;26;9;(-0.67, 0.44, -4.75);(3.72, -0.67, -4.75);189,3758;330,3925
0;27;16;(-0.05, 0.48, 4.88);(-3.48, -0.05, 4.88);126,4364;126,4364
0;28;3;(-1.69, 1.32, 2.73);(2.07, 1.87, 2.73);284,9908;284,9908
0;29;0;(3.16, -1.38, 4.62);(-2.34, -1.38, 4.62);332,6535;332,6535
0;30;23;(-3.60, 1.07, -4.31);(0.17, 1.07, -4.31);65,50745;333,9519
0;31;10;(-0.16, 1.57, -4.97);(-0.18, 2.00, 2.46);111,1721;219,7396
0;32;17;(0.68, 0.08, -3.47);(0.68, 0.08, 1.45);246,3493;246,3493
0;33;31;(0.00, 0.62, 4.86);(2.75, 0.00, 4.86);336,2424;336,2424
0;34;42;(1.30, 0.24, -4.79);(-1.85, 0.24, -1.87);22,37359;103,4005
0;35;1;(-1.37, -0.59, -1.60);(-1.37, 1.96, -1.60);263,4945;263,4946
0;36;35;(-3.35, -0.10, 0.62);(-3.35, -0.74, -3.87);168,4896;168,4896
0;37;2;(-2.11, -0.20, 4.61);(-2.11, -0.20, 0.21);89,56141;89,56142
0;38;44;(2.93, -1.52, -4.08);(2.39, -0.73, -2.03);72,1879;254,8259
0;39;12;(2.49, 0.30, -4.24);(-2.01, 0.30, 4.58);13,63577;342,7189
0;40;43;(-0.61, -1.86, -2.26);(-0.61, 0.93, 1.32);127,3096;331,7011
0;41;41;(1.13, 1.42, 4.13);(-1.19, -0.81, 4.13);49,57728;356,3526
0;42;33;(-3.53, 0.22, -4.91);(-0.82, -1.09, -4.91);354,2015;354,2016
0;43;39;(-1.80, 0.65, 0.64);(3.25, -1.80, 0.64);77,14124;309,0244
0;44;36;(0.56, -0.45, 2.59);(-2.17, -0.79, 0.57);216,1383;216,1383
1;45;36;(2.27, -1.23, -3.98);(2.80, 1.38, 0.98);281,4256;281,4256
1;46;1;(3.64, -0.77, -0.33);(3.64, 1.62, -0.33);289,4182;289,4182
1;47;5;(0.53, -0.31, -4.43);(0.53, -0.24, 4.97);17,44468;17,44468
1;48;8;(1.98, 1.91, -3.90);(-0.34, 1.91, -3.90);221,3374;338,553
1;49;23;(1.90, -1.70, -1.31);(-1.77, -1.70, -1.31);204,1362;242,6028
1;50;6;(3.25, 1.22, 0.91);(-0.26, 0.61, -0.92);65,18248;65,18249
1;51;27;(0.15, -1.85, 3.18);(0.87, -1.85, -3.25);96,25466;261,6373
1;52;11;(-2.33, -0.80, -5.00);(1.88, -0.44, -5.00);97,18798;173,0202
1;53;10;(2.45, -1.46, 2.36);(2.45, -1.46, 4.79);35,79107;107,107
1;54;20;(-3.15, -0.90, 3.16);(-3.15, -1.31, -4.48);267,0057;267,0057
1;55;12;(-1.41, -1.52, -3.57);(2.02, -1.52, 0.22);68,51225;218,97
1;56;18;(1.85, 1.63, -0.33);(-2.11, 0.36, -0.33);186,6766;186,6767
1;57;41;(-2.35, 0.75, 3.87);(-1.20, -0.87, 3.87);124,6212;223,8814
1;58;26;(-1.55, -1.47, -2.72);(1.92, 0.33, -2.72);117,1846;189,1338
1;59;13;(1.27, 0.83, -2.83);(1.27, 1.37, 4.06);152,7597;206,7844
1;60;33;(-0.48, -1.02, -4.92);(-2.53, 1.73, -4.92);279,1136;279,1136
1;61;32;(0.55, -1.41, -2.45);(0.55, -1.41, 2.89);147,9116;147,9116
1;62;28;(2.77, 1.87, 1.98);(2.77, 1.08, -4.79);88,33824;296,7816
1;63;0;(-0.64, -0.69, -1.65);(2.19, -0.69, -1.65);280,9937;280,9937
1;64;25;(1.50, 1.32, 4.30);(1.50, 1.32, -2.06);26,69336;186,167
1;65;30;(2.78, -1.04, -4.90);(0.23, -1.04, -4.90);323,1351;323,1351
1;66;7;(2.21, 0.92, -4.35);(2.09, 1.03, -4.29);26,78761;44,09104
1;67;31;(-0.49, 0.63, -4.94);(0.33, -0.49, -4.94);192,8982;192,8982
1;68;19;(3.52, -1.50, 3.40);(-0.34, -1.50, 2.23);175,2626;175,2626
1;69;37;(-3.49, 0.20, -1.73);(-3.49, 0.20, -1.73);27,38207;318,8911
1;70;40;(-1.43, 0.34, -3.72);(-1.43, 0.34, -2.47);71,67645;338,8582
1;71;22;(0.72, 1.46, 3.32);(0.72, 1.46, 3.32);206,3135;346,7921
1;72;17;(-0.55, -0.23, -4.33);(-0.55, -0.23, 1.49);149,8992;149,8993
1;73;2;(-3.22, -1.73, -1.62);(-3.22, -1.73, 3.37);59,69487;59,69487
1;74;21;(-2.97, 0.19, 0.01);(3.06, 1.63, 4.09);343,9124;343,9125
1;75;3;(2.06, 1.96, -4.91);(0.35, -1.14, -4.91);201,3875;201,3876
1;76;34;(3.44, 1.48, 4.99);(-1.66, 1.48, -2.95);275,9568;275,9568
