BlockID;TrialID;Config;Position
0;0;1;(2.25, 0.97, 3.46)
0;1;0;(-3.37, 0.88, 0.41)
0;2;2;(2.57, 0.42, 2.39)
1;3;1;(1.41, 0.78, -3.78)
1;4;0;(2.73, 0.62, -0.04)
1;5;2;(-1.72, 1.36, 1.17)
2;6;2;(0.54, 0.13, 1.14)
2;7;0;(2.91, 0.77, -1.17)
2;8;1;(1.12, -1.30, 3.20)
3;9;2;(3.32, -1.59, -1.77)
3;10;0;(-0.23, -0.82, 0.40)
3;11;1;(1.97, 1.01, 3.54)
4;12;0;(-0.09, -1.65, -0.28)
4;13;2;(0.65, -1.35, 2.70)
4;14;1;(-2.74, 0.37, -3.76)
5;15;2;(-2.17, -1.64, 2.65)
5;16;1;(2.15, 0.09, 3.96)
5;17;0;(0.03, -0.37, -3.15)
6;18;0;(-3.32, -0.08, 1.94)
6;19;1;(1.48, -0.95, -1.93)
6;20;2;(-0.13, 1.30, -1.66)
7;21;0;(0.36, -1.51, -3.47)
7;22;1;(-0.82, 1.10, -0.29)
7;23;2;(1.75, 1.60, 0.81)
8;24;2;(2.35, 0.14, 2.50)
8;25;1;(-3.13, 0.63, -3.47)
8;26;0;(2.47, -0.54, 3.29)
9;27;0;(2.47, 0.00, -1.16)
9;28;2;(-2.76, 0.04, 1.05)
9;29;1;(-1.33, 1.46, -3.06)
10;30;1;(-3.42, 1.23, 1.34)
10;31;2;(2.19, -0.36, -0.18)
10;32;0;(-0.76, 1.46, 3.14)
11;33;1;(-2.70, 0.68, -3.86)
11;34;0;(1.92, -1.67, -3.88)
11;35;2;(2.87, 1.36, -2.71)
12;36;1;(-3.26, 1.41, -0.44)
12;37;2;(-1.75, -0.92, 1.54)
12;38;0;(2.24, -0.73, 3.03)
13;39;0;(-1.33, -0.97, 2.10)
13;40;2;(3.24, 0.25, 0.68)
13;41;1;(2.24, -1.04, -3.63)
14;42;2;(-2.50, -1.55, -2.61)
14;43;0;(-2.95, 1.50, 3.76)
14;44;1;(2.01, -1.07, 0.34)
15;45;0;(-3.09, -1.74, 1.42)
15;46;2;(0.97, 0.06, 1.31)
15;47;1;(-0.25, 1.52, -2.26)
16;48;2;(-1.58, 1.36, 0.97)
16;49;0;(3.07, 0.73, -2.41)
16;50;1;(-2.01, 0.27, -0.23)
17;51;2;(-1.75, 0.42, -1.37)
17;52;1;(3.19, 1.53, 1.39)
17;53;0;(-0.59, -0.25, 2.82)
18;54;2;(-0.10, 1.12, -1.76)
18;55;1;(-1.39, -1.43, -1.41)
18;56;0;(-0.61, 0.43, -3.40)
19;57;1;(1.79, -0.74, 0.02)
19;58;0;(0.22, -0.53, 3.70)
19;59;2;(1.90, 0.27, -0.13)
